Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PV684182,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV145/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-05-29,2025-12-05,ssRNA(+)
PV684183,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV118/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-06-04,2025-12-05,ssRNA(+)
PV684184,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV464/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-07-17,2025-12-05,ssRNA(+)
PV684185,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV342/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-07-05,2025-12-05,ssRNA(+)
PV684186,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV695/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-08-09,2025-12-05,ssRNA(+)
PV684187,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV572/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-07-15,2025-12-05,ssRNA(+)
PV684188,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV452/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-07-03,2025-12-05,ssRNA(+)
PV684189,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV738/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-09-04,2025-12-05,ssRNA(+)
PV684190,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV722/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-08-24,2025-12-05,ssRNA(+)
PV684191,Enterovirus A71,Enterovirus alphacoxsackie,,2024EV770/QD/CHN/2024,6582,partial,China,Homo sapiens,oronasopharynx,"Liu,S., Gong,J., Wang,Z.",2024-08-20,2025-12-05,ssRNA(+)
PX499193,Enterovirus A71,Enterovirus alphacoxsackie,,46a_KYA/RUS/2025,324,partial,Russia,Homo sapiens,feces,"Sapega,E., Butakova,L., Trotsenko,O.",2025-04-15,2025-11-17,ssRNA(+)
PX499194,Enterovirus A71,Enterovirus alphacoxsackie,,60a_ZAB/RUS/2025,324,partial,Russia,Homo sapiens,feces,"Sapega,E., Butakova,L., Trotsenko,O.",2025-06-16,2025-11-17,ssRNA(+)
PX499195,Enterovirus A71,Enterovirus alphacoxsackie,,75_ZAB/RUS/2025,324,partial,Russia,Homo sapiens,feces,"Sapega,E., Butakova,L., Trotsenko,O.",2025-06-16,2025-11-17,ssRNA(+)
PX499196,Enterovirus A71,Enterovirus alphacoxsackie,,130_PRIM/RUS/2025,324,partial,Russia,Homo sapiens,feces,"Sapega,E., Butakova,L., Trotsenko,O.",2025-07-08,2025-11-17,ssRNA(+)
PX499197,Enterovirus A71,Enterovirus alphacoxsackie,,280b_BUR/RUS/2025,324,partial,Russia,Homo sapiens,feces,"Sapega,E., Butakova,L., Trotsenko,O.",2025-06-25,2025-11-17,ssRNA(+)
PX499198,Enterovirus A71,Enterovirus alphacoxsackie,,309_IKT/RUS/2025,324,partial,Russia,Homo sapiens,feces,"Sapega,E., Butakova,L., Trotsenko,O.",2025-07-30,2025-11-17,ssRNA(+)
PX499199,Enterovirus A71,Enterovirus alphacoxsackie,,836_KHV/RUS/2025,324,partial,Russia,Homo sapiens,oronasopharynx,"Sapega,E., Butakova,L., Trotsenko,O.",2025-08-29,2025-11-17,ssRNA(+)
PX499200,Enterovirus A71,Enterovirus alphacoxsackie,,1078_BUR/RUS/2025,324,partial,Russia,Homo sapiens,feces,"Sapega,E., Butakova,L., Trotsenko,O.",2025-09-15,2025-11-17,ssRNA(+)
PX360278,Enterovirus A71,Enterovirus alphacoxsackie,A71,SPb_11223/24EVI/Kostroma/2024/RU,705,partial,Russia: Kostroma,Homo sapiens,feces,"Kanaeva,O., Romanenkova,N., Evseeva,V., Tolstykh,N., Blokhinova,M., Antonenkov,K., Sbarzaglia,V., Tsyganova,N., Khasanova,A.",2024-09-18,2025-09-28,ssRNA(+)
PX254893,Enterovirus A71,Enterovirus alphacoxsackie,,17-JED,149,partial,Saudi Arabia: Jeddah,Homo sapiens,oronasopharynx,"AlSharif,H.A., Azhar,E.I., Alsulami,A.O., Habiballah,S., Alandijany,T.A., Helaby,H.Q., Ashshi,A.M., Alyazidi,R.M., Qutub,M.",2024-01,2025-09-09,ssRNA(+)
PV176308,Enterovirus A71,Enterovirus alphacoxsackie,B5,,6582,complete,Taiwan,Homo sapiens,,"Le,T.-H.-L., Weng,T.-Y., Yen,H., Chia,M.-Y., Lee,M.-S.",2017,2025-08-28,ssRNA(+)
PX021637,Enterovirus A71,Enterovirus alphacoxsackie,,BSM-25-001/NIV/India,7407,complete,India,Homo sapiens,,"Sharma,V., Sawant,P., Mathapati,B., Kumar,N.",2024,2025-08-06,ssRNA(+)
PX021638,Enterovirus A71,Enterovirus alphacoxsackie,,S48/NIV/India,7406,complete,India,Homo sapiens,,"Sharma,V., Sawant,P., Mathapati,B., Kumar,N.",2022,2025-08-06,ssRNA(+)
PQ179652,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2012-06-11,2025-07-28,ssRNA(+)
PQ179653,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2013-02-18,2025-07-28,ssRNA(+)
PQ179654,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2013-03-06,2025-07-28,ssRNA(+)
PQ179655,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2013-03-11,2025-07-28,ssRNA(+)
PQ179656,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2013-06-10,2025-07-28,ssRNA(+)
PQ179657,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2013-07-12,2025-07-28,ssRNA(+)
PQ179658,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2013-07-10,2025-07-28,ssRNA(+)
PQ179659,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2013-09-09,2025-07-28,ssRNA(+)
PQ179660,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2013-10-13,2025-07-28,ssRNA(+)
PQ179663,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2014-05-22,2025-07-28,ssRNA(+)
PQ179664,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2014-06-03,2025-07-28,ssRNA(+)
PQ179665,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2014-06-18,2025-07-28,ssRNA(+)
PQ179666,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2014-09-10,2025-07-28,ssRNA(+)
PQ179667,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2014-11-16,2025-07-28,ssRNA(+)
PQ179668,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2016-05-26,2025-07-28,ssRNA(+)
PQ179669,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2016-08-03,2025-07-28,ssRNA(+)
PQ179670,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2016-09-12,2025-07-28,ssRNA(+)
PQ179671,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2016-10-16,2025-07-28,ssRNA(+)
PQ179672,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2023-04-10,2025-07-28,ssRNA(+)
PQ179673,Enterovirus A71,Enterovirus alphacoxsackie,,,891,partial,China,Homo,,"Li,F.",2023-08-12,2025-07-28,ssRNA(+)
PQ365556,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK2206_C1_COP_DNK_20_08_2022,461,partial,Denmark,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2022-08-20,2025-07-12,ssRNA(+)
PQ365557,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK2207_C1_COP_DNK_20_09_2022,461,partial,Denmark,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2022-09-20,2025-07-12,ssRNA(+)
PQ365558,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK2205_C1_COP_DNK_19_08_2022,462,partial,Denmark,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2022-08-19,2025-07-12,ssRNA(+)
PQ365559,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1621_C1_COP_DNK_31_10_2016,307,partial,Denmark,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2016-10-31,2025-07-12,ssRNA(+)
PQ365560,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1907_C1_COP_DNK_10_07_2019,307,partial,Denmark,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2019-07-10,2025-07-12,ssRNA(+)
PQ365561,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1903_C1_COP_DNK_14_05_2019,329,partial,Denmark,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2019-05-14,2025-07-12,ssRNA(+)
PQ365562,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1905_C1_COP_DNK_01_07_2019,302,partial,Denmark,Homo sapiens,,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2019-07-01,2025-07-12,ssRNA(+)
PQ365563,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1622_C1_COP_DNK_08_11_2016,304,partial,Denmark,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2016-11-08,2025-07-12,ssRNA(+)
PQ365564,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1802_C1_COP_DNK_06_07_2018,329,partial,Denmark,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2018-07-06,2025-07-12,ssRNA(+)
PQ365565,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1801_C1_COP_DNK_17_05_2018,350,partial,Denmark,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2018-05-17,2025-07-12,ssRNA(+)
PQ365566,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1809_C1_COP_DNK_18_10_2018,341,partial,Denmark,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2018-10-18,2025-07-12,ssRNA(+)
PQ365567,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1803_C1_COP_DNK_08_07_2018,347,partial,Denmark,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2018-07-08,2025-07-12,ssRNA(+)
PQ365568,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1913_C1_COP_DNK_17_11_2019,228,partial,Denmark,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2019-11-17,2025-07-12,ssRNA(+)
PQ365569,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1806_C1_COP_DNK_17_08_2018,307,partial,Denmark,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2018-08-17,2025-07-12,ssRNA(+)
PQ365570,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1902_C1_COP_DNK_12_02_2019,281,partial,Denmark,Homo sapiens,,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2019-02-12,2025-07-12,ssRNA(+)
PQ365571,Enterovirus A71,Enterovirus alphacoxsackie,,S3_DK1610_C1_COP_DNK_02_07_2016,165,partial,Denmark,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Midgley,S.E., Barzinci,S., Franck,K.T.",2016-07-02,2025-07-12,ssRNA(+)
PQ365572,Enterovirus A71,Enterovirus alphacoxsackie,,S12_MI05_C1_MIL_ITA_22_06_2019,319,partial,Italy,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Pariani,E., Pellegrinelli,L., Binda,S.",2019-06-22,2025-07-12,ssRNA(+)
PQ365573,Enterovirus A71,Enterovirus alphacoxsackie,,S12_MI03_C1_MIL_ITA_26_09_2018,301,partial,Italy,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Pariani,E., Pellegrinelli,L., Binda,S.",2018-09-26,2025-07-12,ssRNA(+)
PQ365574,Enterovirus A71,Enterovirus alphacoxsackie,,S12_MI02_C1_MIL_ITA_19_12_2016,313,partial,Italy,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Pariani,E., Pellegrinelli,L., Binda,S.",2016-12-19,2025-07-12,ssRNA(+)
PQ365575,Enterovirus A71,Enterovirus alphacoxsackie,,S12_MI04_C1_MIL_ITA_03_11_2018,320,partial,Italy,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Pariani,E., Pellegrinelli,L., Binda,S.",2018-11-03,2025-07-12,ssRNA(+)
PQ365576,Enterovirus A71,Enterovirus alphacoxsackie,,S12_MI07_C1_MIL_ITA_24_08_2019,302,partial,Italy,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Pariani,E., Pellegrinelli,L., Binda,S.",2019-08-24,2025-07-12,ssRNA(+)
PQ365577,Enterovirus A71,Enterovirus alphacoxsackie,,S12_MI01_C2_MIL_ITA_15_06_2016,308,partial,Italy,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Pariani,E., Pellegrinelli,L., Binda,S.",2019-06-15,2025-07-12,ssRNA(+)
PQ365578,Enterovirus A71,Enterovirus alphacoxsackie,,S25_70161053_C1_SEB_ESP_07_12_2019,882,partial,Spain,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Montes,M., Pineiro,L., Vicente,D.",2019-12-07,2025-07-12,ssRNA(+)
PQ365579,Enterovirus A71,Enterovirus alphacoxsackie,,S25_96106520_C1_SEB_ESP_21_06_2018,882,partial,Spain,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Montes,M., Pineiro,L., Vicente,D.",2018-06-21,2025-07-12,ssRNA(+)
PQ365580,Enterovirus A71,Enterovirus alphacoxsackie,,S2_230015143801_C1_REN_FRA_07_12_2022,860,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A., Calapietra,E., Josset,L.",2022-12-07,2025-07-12,ssRNA(+)
PQ365581,Enterovirus A71,Enterovirus alphacoxsackie,,S2_022172254601_C1_DIJ_FRA_04_10_2022,828,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A., Calapietra,E., Josset,L.",2022-10-04,2025-07-12,ssRNA(+)
PQ365582,Enterovirus A71,Enterovirus alphacoxsackie,,S2_230051598501_C1_VER_FRA_26_07_2023,860,partial,France,Homo sapiens,blood,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A., Calapietra,E., Josset,L.",2023-07-26,2025-07-12,ssRNA(+)
PQ365583,Enterovirus A71,Enterovirus alphacoxsackie,,S2_230023072901_C1_CLF_FRA_19_12_2022,609,partial,France,Homo sapiens,blood,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2022-12-19,2025-07-12,ssRNA(+)
PQ365584,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019115064901_C1_PAR_FRA_15_06_2019,311,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-06-15,2025-07-12,ssRNA(+)
PQ365585,Enterovirus A71,Enterovirus alphacoxsackie,,S2_0190882106_C1_LIL_FRA_03_05_2019,311,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-05-03,2025-07-12,ssRNA(+)
PQ365586,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019146075601_C1_LIL_FRA_26_07_2019,311,partial,France,Homo sapiens,,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-07-26,2025-07-12,ssRNA(+)
PQ365587,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019111873701_C1_ROU_FRA_28_05_2019,311,partial,France,Homo sapiens,,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-05-28,2025-07-12,ssRNA(+)
PQ365588,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019082575901_C1_LYO_FRA_11_04_2019,311,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-04-11,2025-07-12,ssRNA(+)
PQ365589,Enterovirus A71,Enterovirus alphacoxsackie,,S2_0191221419_C1_TRS_FRA_28_06_2019,311,partial,France,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-06-28,2025-07-12,ssRNA(+)
PQ365590,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019137122901_C1_LYO_FRA_27_07_2019,311,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-07-27,2025-07-12,ssRNA(+)
PQ365591,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019134099901_C1_TRS_FRA_20_07_2019,311,partial,France,Homo sapiens,cerebrospinal fluid,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-07-20,2025-07-12,ssRNA(+)
PQ365592,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019142637101_C1_STE_FRA_08_06_2019,311,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-06-08,2025-07-12,ssRNA(+)
PQ365593,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019136361901_C1_DIJ_FRA_11_07_2019,311,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-07-11,2025-07-12,ssRNA(+)
PQ365594,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019132831101_C1_LYO_FRA_27_07_2019,311,partial,France,Homo sapiens,cerebrospinal fluid,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-07-27,2025-07-12,ssRNA(+)
PQ365595,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019167081901_C1_STR_FRA_14_08_2019,311,partial,France,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-08-14,2025-07-12,ssRNA(+)
PQ365596,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019181076501_C1_LYO_FRA_19_10_2019,311,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-10-19,2025-07-12,ssRNA(+)
PQ365597,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019086100801_C1_ROU_FRA_22_04_2019,311,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-04-22,2025-07-12,ssRNA(+)
PQ365598,Enterovirus A71,Enterovirus alphacoxsackie,,S2_0191337447_C1_LIL_FRA_15_07_2019,311,partial,France,Homo sapiens,cerebrospinal fluid,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-07-15,2025-07-12,ssRNA(+)
PQ365599,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019177925901_C1_ROU_FRA_06_08_2019,311,partial,France,Homo sapiens,blood,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-08-06,2025-07-12,ssRNA(+)
PQ365600,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019155664101_C1_TLN_FRA_13_08_2019,311,partial,France,Homo sapiens,cerebrospinal fluid,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-08-13,2025-07-12,ssRNA(+)
PQ365601,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019122135501_C1_TRS_FRA_24_06_2019,311,partial,France,Homo sapiens,oronasopharynx,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-06-24,2025-07-12,ssRNA(+)
PQ365602,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019134090701_C1_TRS_FRA_11_07_2019,311,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-07-11,2025-07-12,ssRNA(+)
PQ365603,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019138610001_C1_TRS_FRA_31_07_2019,311,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-07-31,2025-07-12,ssRNA(+)
PQ365604,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019103496301_C1_BOR_FRA_13_05_2019,311,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-05-13,2025-07-12,ssRNA(+)
PQ365605,Enterovirus A71,Enterovirus alphacoxsackie,,S2_019058800601_C1_LYO_FRA_10_03_2019,309,partial,France,Homo sapiens,feces,"Bisseux,M., Mirand,A., Henquell,C., Bailly,J.-L., Jeannoel,M., Schuffenecker,I., Semanas,Q., Oblette,A.",2019-03-10,2025-07-12,ssRNA(+)
